Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2021-03-18,2072.899902,2084.800049,2001.0,2009.099976,2002.657593,9528809.0,2153.15,2173.17998,2113.159998,2133.020032,2126.180237,8326503.5
2021-03-19,1991.0,2095.850098,1982.800049,2082.0,2075.32373,19284892.0,2134.25,2163.769995,2095.670007,2123.635022,2116.825305,9265733.0
2021-03-22,2071.0,2074.0,2033.199951,2062.399902,2055.786621,8571196.0,2125.75,2149.975,2083.684998,2112.005017,2105.232605,8945489.6
2021-03-23,2061.949951,2109.699951,2056.0,2087.5,2080.806152,8039865.0,2115.094995,2137.755005,2072.484998,2101.645007,2094.905823,8849235.7
2021-03-24,2079.75,2079.75,2040.400024,2047.300049,2040.735107,7763726.0,2103.069995,2124.35,2061.86499,2087.270007,2080.576916,8926229.1
2021-03-25,2054.0,2054.0,1985.0,1991.449951,1985.064087,10153757.0,2087.769995,2108.23999,2043.33999,2068.220007,2061.587988,9409986.6
2021-03-26,2012.0,2013.699951,1973.699951,1994.650024,1988.253906,9313160.0,2069.469995,2088.969995,2028.319995,2053.925,2047.338818,9562985.3
2021-03-30,2008.0,2048.899902,1991.550049,2029.300049,2022.792847,9433842.0,2056.26499,2078.969995,2019.425,2045.965015,2039.404358,9735752.5
2021-03-31,2018.0,2049.899902,1999.0,2003.099976,1996.676758,7499740.0,2046.66499,2071.359985,2009.775,2036.215002,2029.685608,9845450.8
2021-04-01,2018.0,2030.0,2003.150024,2021.849976,2015.366699,5410307.0,2038.659985,2064.059985,2006.580005,2032.86499,2026.34635,9499929.4
2021-04-05,2024.949951,2025.0,1962.099976,1992.599976,1986.210449,6864856.0,2033.86499,2058.07998,2002.690002,2031.21499,2024.701636,9233534.1
2021-04-06,2004.0,2004.949951,1969.0,1984.300049,1977.937134,6465241.0,2035.16499,2048.989966,2001.309998,2021.444995,2014.962976,7951569.0
2021-04-07,2000.0,2046.900024,1993.300049,2002.849976,1996.427612,11198918.0,2028.06499,2046.279968,1997.320007,2015.490003,2009.027075,8214341.2
2021-04-08,2011.0,2022.0,1993.0,2005.349976,1998.919556,7092878.0,2022.969995,2037.509973,1991.020007,2007.275,2000.838416,8119642.5
2021-04-09,1998.449951,2006.349976,1980.0,1982.050049,1975.694336,6478482.0,2014.83999,2030.169971,1984.980005,2000.75,1994.334338,7991118.1
2021-04-12,1959.0,1961.400024,1900.25,1911.150024,1905.021729,9646031.0,2005.33999,2020.909973,1976.505005,1992.720008,1986.330103,7940345.5
2021-04-13,1924.0,1940.599976,1917.849976,1931.800049,1925.605469,8958261.0,1996.53999,2013.599976,1970.920007,1986.43501,1980.065259,7904855.6
2021-04-15,1926.300049,1961.0,1913.0,1944.300049,1938.06543,9102492.0,1988.369995,2004.809985,1963.065002,1977.93501,1971.592517,7871720.6
2021-04-16,1936.599976,1949.900024,1926.449951,1932.099976,1925.904541,7225679.0,1980.229993,1994.809998,1955.809998,1970.83501,1964.515296,7844314.5
2021-04-19,1904.0,1916.400024,1890.0,1901.699951,1895.601929,8527967.0,1968.829993,1983.45,1944.494995,1958.820008,1952.538818,8156080.5
2021-04-20,1910.5,1919.0,1890.449951,1901.150024,1895.053833,7939490.0,1957.384998,1972.85,1937.329993,1949.675012,1943.423157,8263543.9
2021-04-22,1892.25,1914.449951,1876.699951,1906.400024,1900.286987,6687573.0,1946.209998,1963.8,1928.099988,1941.88501,1935.658142,8285777.1
2021-04-23,1906.0,1918.900024,1895.349976,1904.349976,1898.243408,5459016.0,1936.809998,1951.0,1918.304981,1932.03501,1925.839722,7711786.9
2021-04-26,1920.0,1962.0,1911.5,1937.849976,1931.635986,9620785.0,1927.709998,1945.0,1910.154981,1925.28501,1919.111365,7964577.6
